grant_id,recipient,amount,agency,description,is_biotech,biotech_strategies,materials,topics
W911NF1920030,UNIVERSIDAD DEL VALLE,42020.0,,DEVELOPMENT OF RARE EARTH FREE PERMANENT MAGNETS WITH DIFFERENT COMPOSITIONS,False,,rare_earth,
W911NF1810188,ACADEMIA SINICA,49795.0,,A SUPERB BIOMINING SYSTEM FOR HEAVY METAL RECOVERY,True,biomining_general,,extraction
N629092212051,UNIVERSITY OF NEW SOUTH WALES,374107.0,,NEW WHEELS FROM THE OLDEST WHEEL: MINING PROPULSIVE INSIGHT FROM THE OPTIMISED EVOLUTION OF MICROBIAL SWIMMING.,False,,,
N000142512210,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,93000.0,,"SYNTHESIS AND CHARACTERIZATION OF MIXED RARE EARTH ZIRCONIA, ZIRCONATE AND SILICATE RADIATIVE BARRIER COATINGS",False,,rare_earth,characterization;materials_science
N000142312722,UNIVERSITY OF TEXAS AT AUSTIN,292265.2,,"MINERVA RESEARCH INITIATIVE DECUR PARTNERSHIP - CRITICAL MINERALS, BATTERY TECHNOLOGY, & REDUCING DEPENDENCE ON HOSTILE SUPPLIERS IN THE CLEAN ENERGY SUPPLY CHAIN",False,,critical_minerals,
N000142112460,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,560000.0,,"SYNTHESIS AND CHARACTERIZATION OF MIXED RARE EARTH ZIRCONIA, ZIRCONATE AND SILICATE RADIATIVE BARRIER COATINGS",False,,rare_earth,characterization;materials_science
N000142112433,TRUSTEES OF BOSTON UNIVERSITY,497000.0,,BIOSENSORS FOR PHYSIOLOGICAL MONITORING FROM BACTERIAL MINING,False,,,
N000142112362,WILLIAM MARSH RICE UNIVERSITY,400305.54,,BIOLOGICAL EXTRACTION OF RARE EARTH ELEMENTS INSPIRED BY PROCESSES IN THE EARTH (BE RIPE),True,biological_recovery,rare_earth,extraction
N000142112361,UNIVERSITY OF DELAWARE,507467.0,,BIOLOGICAL EXTRACTION OF RARE EARTH ELEMENTS INSPIRED BY PROCESSES IN THE EARTH (BE RIPE),True,biological_recovery,rare_earth,extraction
N000142012724,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",903899.0,,"DEVELOPMENT OF RARE EARTH DOPED POLYCRYSTALLINE ALUMINA (RE:AL2O3) FOR SHORT PULSED, HIGH POWERED LASERS (UCSD)",False,,rare_earth,
N000141812628,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,320648.79,,HOT CORROSION OF RARE EARTH SILICATE ENVIRONMENTAL BARRIER COATINGS.,False,,rare_earth,environmental
