Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Lung Cancer,10831832,2024,NIMHD,5R01MD015396-04,,"Individual and social contextual factors in relation to DNA methylation, biological aging, and lung cancer risk","CAI, QIUYIN",VANDERBILT UNIVERSITY MEDICAL CENTER,TN,683816,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10831955,2024,NCI,5R01CA261639-03,,The Impact of Standardized Tobacco Product Packaging on Young Adults in the Retail Environment,"SHADEL, WILLIAM",RAND CORPORATION,CA,639026,Strictly_Environmental_or_Gene-Environment,Contains environmental or lifestyle exposure terms,Smoking,Strictly_Environmental_or_Gene-Environment,,,,
Lung Cancer,10832086,2024,NIDA,5R01DA055675-03,,Effectiveness and impact of counseling enhanced with electronic cigarettes for harm reduction in smokers with opioid use disorder,"EL-SHAHAWY, OMAR",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,589938,Strictly_Environmental_or_Gene-Environment,Contains environmental or lifestyle exposure terms,Smoking,Everything_else,Moved from Environmental to Everything_else (intervention study),,,
Lung Cancer,10832109,2024,NIDA,5U01DA058547-02,,IND-enabling Studies in Support of First in Human Safety Studies of a Novel Anti-Nicotine Human Monoclonal Antibody,"KALNIK, MATTHEW","ANTIDOTE THERAPEUTICS, INC.",MD,5215321,Strictly_Environmental_or_Gene-Environment,Contains environmental or lifestyle exposure terms,Smoking,Everything_else,,Moved from Environmental to Everything_else,,
Lung Cancer,10832557,2024,NCI,5R01CA244270-05,,Targeting the HGF-MET-TWIST1 pathway to overcome EGFR TKI resistance,"BURNS, TIMOTHY",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,345528,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10832577,2024,NCI,5R01CA258464-03,,FRONTIERS: Foreign-Born Latinos Cancer Screening,"HEINTZMAN, JOHN",OREGON HEALTH & SCIENCE UNIVERSITY,OR,528769,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10832590,2024,NCI,5R01CA250276-05,,CARM1-mediated regulation of YAP1 as a therapeutic target in lung cancer,"KISSIL, JOSEPH",H. LEE MOFFITT CANCER CTR & RES INST,FL,415572,Mechanistic_Pathogenesis,CARM1-YAP1 regulatory mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10832642,2024,NCI,5R44CA183390-07,,Bringing 4π radiation therapy to the clinic,"YONEMOTO, JAY",CELESTIAL ONCOLOGY INC.,CA,1579292,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10832656,2024,NCI,5R03CA280410-02,,Role of the Parkinson's susceptibility gene LRRK2 in NFAT-mediated malignant mesothelioma tumorigenesis,"TESTA, JOSEPH",RESEARCH INST OF FOX CHASE CAN CTR,PA,94000,Mechanistic_Pathogenesis,LRRK2/NFAT-mediated tumorigenesis mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10832997,2024,NCI,5R01CA193297-10,,PAF-Remodeled DREAM Complex in Cancer and Regeneration,"PARK, JAE-IL",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,332637,Mechanistic_Pathogenesis,PAF-DREAM complex mechanism,,Mechanistic_and_Genetic,,,,
